policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,pre_train_acc,pre_train_loss,d_acc,d_loss,window
mwm_accdiff_all_ce_cf,1,45,5,ce_peer,6.0,77.49999761581421,0.1,77.10000276565552,0.6642776131629944,76.03999972343445,0.7208133935928345,,,,,,,,-1.0600030422210693,0.05653578042984009,41-60
mwm_accdiff_all_ce_cf,1,45,2,ce_peer,9.0,77.70000100135803,0.1,75.63999891281128,0.7171224355697632,76.2000024318695,0.7287011742591858,,,,,,,,0.5600035190582275,0.011578738689422607,41-60
mwm_accdiff_all_ce_cf,1,45,1,ce_peer,3.0,77.2599995136261,0.1,76.7799973487854,0.7032800912857056,77.17999815940857,0.6863324642181396,,,,,,,,0.40000081062316895,-0.016947627067565918,41-60
mwm_accdiff_all_ce_cf,1,46,5,ce_peer,4.0,77.66000032424927,0.1,76.03999972343445,0.7208133935928345,76.63999795913696,0.6945546269416809,,,,,,,,0.5999982357025146,-0.026258766651153564,41-60
mwm_accdiff_all_ce_cf,1,46,2,ce_peer,9.0,77.70000100135803,0.1,76.2000024318695,0.7287011742591858,75.22000074386597,0.7182707786560059,,,,,,,,-0.98000168800354,-0.010430395603179932,41-60
mwm_accdiff_all_ce_cf,1,46,7,ce_peer,6.0,77.49999761581421,0.1,76.88000202178955,0.684670627117157,75.95999836921692,0.722470760345459,,,,,,,,-0.9200036525726318,0.037800133228302,41-60
mwm_accdiff_all_ce_cf,1,46,8,ce,,,0.1,77.16000080108643,0.6735823154449463,76.66000127792358,0.6963828206062317,9.0,77.70000100135803,77.70000100135803,76.66000127792358,0.7080667614936829,,,-0.4999995231628418,0.0228005051612854,41-60
mwm_accdiff_all_ce_cf,1,46,1,ce_peer,3.0,77.2599995136261,0.1,77.17999815940857,0.6863324642181396,75.99999904632568,0.6926860213279724,,,,,,,,-1.1799991130828857,0.006353557109832764,41-60
mwm_accdiff_all_ce_cf,1,47,2,ce_peer,9.0,77.70000100135803,0.1,75.22000074386597,0.7182707786560059,76.17999911308289,0.7213329076766968,,,,,,,,0.959998369216919,0.003062129020690918,41-60
mwm_accdiff_all_ce_cf,1,47,7,ce_peer,6.0,77.49999761581421,0.1,75.95999836921692,0.722470760345459,77.88000106811523,0.6503080129623413,,,,,,,,1.9200026988983154,-0.07216274738311768,41-60
mwm_accdiff_all_ce_cf,1,47,8,ce_peer,4.0,77.66000032424927,0.1,76.66000127792358,0.6963828206062317,76.99999809265137,0.6623736619949341,,,,,,,,0.3399968147277832,-0.03400915861129761,41-60
mwm_accdiff_all_ce_cf,1,47,5,ce,,,0.1,76.63999795913696,0.6945546269416809,76.92000269889832,0.6827336549758911,9.0,77.70000100135803,77.70000100135803,76.2000024318695,0.7460891604423523,,,0.28000473976135254,-0.011820971965789795,41-60
mwm_accdiff_all_ce_cf,1,47,1,ce_peer,3.0,77.2599995136261,0.1,75.99999904632568,0.6926860213279724,76.52000188827515,0.6840032935142517,,,,,,,,0.5200028419494629,-0.008682727813720703,41-60
mwm_accdiff_all_ce_cf,1,48,5,ce_peer,4.0,77.66000032424927,0.1,76.92000269889832,0.6827336549758911,77.0799994468689,0.67704176902771,,,,,,,,0.15999674797058105,-0.005691885948181152,41-60
mwm_accdiff_all_ce_cf,1,48,3,ce,,,0.1,77.2599995136261,0.6859268546104431,77.53999829292297,0.6702988147735596,7.0,77.88000106811523,77.88000106811523,77.920001745224,0.6728599071502686,,,0.279998779296875,-0.015628039836883545,41-60
mwm_accdiff_all_ce_cf,1,48,2,ce_peer,9.0,77.70000100135803,0.1,76.17999911308289,0.7213329076766968,77.38000154495239,0.6735880970954895,,,,,,,,1.2000024318695068,-0.047744810581207275,41-60
mwm_accdiff_all_ce_cf,1,48,1,ce_peer,7.0,77.88000106811523,0.1,76.52000188827515,0.6840032935142517,74.6999979019165,0.7825654149055481,,,,,,,,-1.8200039863586426,0.09856212139129639,41-60
mwm_accdiff_all_ce_cf,1,48,8,ce_peer,6.0,77.49999761581421,0.1,76.99999809265137,0.6623736619949341,77.75999903678894,0.6561455726623535,,,,,,,,0.7600009441375732,-0.006228089332580566,41-60
mwm_accdiff_all_ce_cf,1,49,3,ce_peer,4.0,77.66000032424927,0.1,77.53999829292297,0.6702988147735596,73.7999975681305,0.8076137900352478,,,,,,,,-3.7400007247924805,0.13731497526168823,41-60
mwm_accdiff_all_ce_cf,1,49,5,ce_peer,8.0,77.75999903678894,0.1,77.0799994468689,0.67704176902771,75.67999958992004,0.7144809365272522,,,,,,,,-1.3999998569488525,0.037439167499542236,41-60
mwm_accdiff_all_ce_cf,1,49,6,ce,,,0.1,77.49999761581421,0.6870755553245544,76.67999863624573,0.7009889483451843,7.0,77.88000106811523,77.88000106811523,77.52000093460083,0.7173812389373779,,,-0.8199989795684814,0.013913393020629883,41-60
mwm_accdiff_all_ce_cf,1,49,2,ce_peer,9.0,77.70000100135803,0.1,77.38000154495239,0.6735880970954895,77.49999761581421,0.6835343241691589,,,,,,,,0.1199960708618164,0.009946227073669434,41-60
mwm_accdiff_all_ce_cf,1,49,1,ce_peer,7.0,77.88000106811523,0.1,74.6999979019165,0.7825654149055481,76.66000127792358,0.7139472365379333,,,,,,,,1.96000337600708,-0.06861817836761475,41-60
mwm_accdiff_all_ce_cf,1,50,5,ce_peer,8.0,77.75999903678894,0.1,75.67999958992004,0.7144809365272522,77.4399995803833,0.6514853835105896,,,,,,,,1.7599999904632568,-0.0629955530166626,41-60
mwm_accdiff_all_ce_cf,1,50,3,ce_peer,7.0,77.88000106811523,0.1,73.7999975681305,0.8076137900352478,77.66000032424927,0.6683650612831116,,,,,,,,3.8600027561187744,-0.13924872875213623,41-60
mwm_accdiff_all_ce_cf,1,50,6,ce_peer,4.0,77.66000032424927,0.1,76.67999863624573,0.7009889483451843,77.1399974822998,0.6768690347671509,,,,,,,,0.45999884605407715,-0.024119913578033447,41-60
mwm_accdiff_all_ce_cf,1,50,2,ce,,,0.1,77.49999761581421,0.6835343241691589,78.1000018119812,0.6558257341384888,7.0,77.88000106811523,77.88000106811523,77.53999829292297,0.6844506859779358,,,0.6000041961669922,-0.027708590030670166,41-60
mwm_accdiff_all_ce_cf,1,50,1,ce_peer,9.0,77.70000100135803,0.1,76.66000127792358,0.7139472365379333,76.16000175476074,0.7264735102653503,,,,,,,,-0.4999995231628418,0.012526273727416992,41-60
mwm_accdiff_all_ce_cf,1,51,4,ce_peer,2.0,78.1000018119812,0.1,77.66000032424927,0.6806633472442627,75.62000155448914,0.7357844710350037,,,,,,,,-2.039998769760132,0.05512112379074097,41-60
mwm_accdiff_all_ce_cf,1,51,5,ce_peer,8.0,77.75999903678894,0.1,77.4399995803833,0.6514853835105896,76.16000175476074,0.6901143789291382,,,,,,,,-1.2799978256225586,0.038628995418548584,41-60
mwm_accdiff_all_ce_cf,1,51,3,ce,,,0.1,77.66000032424927,0.6683650612831116,77.97999978065491,0.6683602929115295,2.0,78.1000018119812,78.1000018119812,75.49999952316284,0.7388665080070496,,,0.31999945640563965,-4.76837158203125e-06,41-60
mwm_accdiff_all_ce_cf,1,51,6,ce_peer,7.0,77.88000106811523,0.1,77.1399974822998,0.6768690347671509,76.30000114440918,0.710382878780365,,,,,,,,-0.839996337890625,0.03351384401321411,41-60
mwm_accdiff_all_ce_cf,1,51,1,ce_peer,9.0,77.70000100135803,0.1,76.16000175476074,0.7264735102653503,78.33999991416931,0.6725068092346191,,,,,,,,2.1799981594085693,-0.0539667010307312,41-60
mwm_accdiff_all_ce_cf,1,52,9,ce,,,0.1,77.70000100135803,0.6756117343902588,73.47999811172485,0.7908892631530762,1.0,78.33999991416931,78.33999991416931,74.98000264167786,0.7714213728904724,,,-4.220002889633179,0.11527752876281738,41-60
mwm_accdiff_all_ce_cf,1,52,5,ce_peer,3.0,77.97999978065491,0.1,76.16000175476074,0.6901143789291382,77.16000080108643,0.6685107946395874,,,,,,,,0.9999990463256836,-0.02160358428955078,41-60
