method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CelNet,8,0.1,1,80.19,0.6024917338848114,0.45000000000000284,0.02716250739097592
CelNet,8,0.1,2,80.99,0.5764412121295929,-0.3499999999999943,0.0011119856357574287
CelNet,8,0.1,3,79.8,0.6043512912273407,0.8400000000000034,0.029022064733505215
CelNet,8,0.1,4,79.24,0.6168939012527466,1.4000000000000057,0.041564674758911124
CelNet,8,0.2,0,77.68,0.6844153793811798,2.9599999999999937,0.10908615288734436
CelNet,8,0.2,1,75.91,0.755872454071045,4.730000000000004,0.18054322757720953
CelNet,8,0.2,2,77.4,0.6900096977233887,3.239999999999995,0.11468047122955327
CelNet,8,0.2,3,77.5,0.680026579618454,3.1400000000000006,0.10469735312461859
CelNet,8,0.2,4,76.07,0.7171736951828003,4.570000000000007,0.14184446868896483
CelNet,9,0.0,0,83.28,0.48288271005153655,0.0,0.0
CelNet,9,0.01,0,83.23,0.4843384468078613,0.04999999999999716,0.0014557367563247658
CelNet,9,0.01,1,83.22,0.4825506161928177,0.060000000000002274,-0.00033209385871885155
CelNet,9,0.01,2,83.25,0.48214083762168886,0.030000000000001137,-0.0007418724298476898
CelNet,9,0.01,3,83.25,0.48283419954776763,0.030000000000001137,-4.851050376891708e-05
CelNet,9,0.01,4,83.32,0.4828352118968964,-0.03999999999999204,-4.749815464016871e-05
CelNet,9,0.02,0,83.19,0.4868524718284607,0.09000000000000341,0.003969761776924152
CelNet,9,0.02,1,83.23,0.4829576673746109,0.04999999999999716,7.495732307433167e-05
CelNet,9,0.02,2,83.26,0.4820500827550888,0.01999999999999602,-0.0008326272964477299
CelNet,9,0.02,3,83.2,0.4832440153121948,0.0799999999999983,0.0003613052606582512
CelNet,9,0.02,4,83.27,0.4835574299812317,0.010000000000005116,0.0006747199296951445
CelNet,9,0.05,0,83.04,0.5004620512485504,0.23999999999999488,0.01757934119701382
CelNet,9,0.05,1,83.22,0.4885924541473389,0.060000000000002274,0.005709744095802327
CelNet,9,0.05,2,83.13,0.4855449880599976,0.15000000000000568,0.0026622780084610276
CelNet,9,0.05,3,83.07,0.48755703353881835,0.21000000000000796,0.004674323487281806
CelNet,9,0.05,4,83.3,0.49043971972465517,-0.01999999999999602,0.00755700967311862
CelNet,9,0.1,0,81.72,0.5465119572162628,1.5600000000000023,0.06362924716472623
CelNet,9,0.1,1,82.69,0.5122950947761535,0.5900000000000034,0.02941238472461699
CelNet,9,0.1,2,82.61,0.5056295203208924,0.6700000000000017,0.02274681026935582
CelNet,9,0.1,3,82.67,0.5059144980430603,0.6099999999999994,0.023031787991523778
CelNet,9,0.1,4,82.68,0.5168116219520569,0.5999999999999943,0.03392891190052033
CelNet,9,0.2,0,75.42,0.7610057869911194,7.859999999999999,0.2781230769395829
CelNet,9,0.2,1,78.95,0.6304544147968292,4.329999999999998,0.14757170474529263
CelNet,9,0.2,2,78.91,0.6141949642181397,4.3700000000000045,0.13131225416660314
CelNet,9,0.2,3,79.7,0.5982467121124267,3.5799999999999983,0.1153640020608902
CelNet,9,0.2,4,78.49,0.6334131786346435,4.790000000000006,0.15053046858310698
CE,1,0.0,0,86.79,0.5093925337314605,0.0,0.0
CE,1,0.01,0,86.79,0.5129503367900848,0.0,0.003557803058624298
CE,1,0.01,1,86.79,0.5107452633857728,0.0,0.0013527296543122125
CE,1,0.01,2,86.69,0.5083927839279175,0.10000000000000853,-0.0009997498035430041
CE,1,0.01,3,86.89,0.5097919287681579,-0.09999999999999432,0.00039939503669739196
CE,1,0.01,4,86.78,0.5122316166877746,0.010000000000005116,0.0028390829563140763
CE,1,0.02,0,86.77,0.5178727149009704,0.020000000000010232,0.008480181169509882
CE,1,0.02,1,86.79,0.5133591710567474,0.0,0.003966637325286904
CE,1,0.02,2,86.8,0.5095061175823211,-0.009999999999990905,0.00011358385086057687
CE,1,0.02,3,86.99,0.5127880606174469,-0.19999999999998863,0.003395526885986322
CE,1,0.02,4,86.63,0.517448728466034,0.1600000000000108,0.008056194734573419
CE,1,0.05,0,86.31,0.541038121509552,0.480000000000004,0.031645587778091455
CE,1,0.05,1,86.49,0.5294528044223785,0.30000000000001137,0.02006027069091798
CE,1,0.05,2,86.23,0.5248714910507202,0.5600000000000023,0.015478957319259634
CE,1,0.05,3,86.12,0.5382851665496826,0.6700000000000017,0.028892632818222075
CE,1,0.05,4,86.1,0.5483458606243133,0.6900000000000119,0.0389533268928528
CE,1,0.1,0,84.97,0.6160952886104584,1.8200000000000074,0.10670275487899783
CE,1,0.1,1,84.81,0.5929786050319672,1.980000000000004,0.08358607130050666
CE,1,0.1,2,84.28,0.5952190093994141,2.510000000000005,0.08582647566795354
CE,1,0.1,3,83.92,0.658532470369339,2.8700000000000045,0.1491399366378785
CE,1,0.1,4,84.02,0.6525553922653198,2.7700000000000102,0.14316285853385924
CE,1,0.2,0,76.79,0.9820825102806091,10.0,0.47268997654914857
CE,1,0.2,1,77.35,0.9376378131866455,9.440000000000012,0.428245279455185
