group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
1.0,42,76,-24,kl,85.72,0.20000000000000284,0.2897196114063263,0.46711939573287964,0.7771099805831909
1.0,42,77,-23,kl,85.64,-0.0799999999999983,0.25547289848327637,0.4566217064857483,0.7252039909362793
1.0,42,78,-22,kl,85.8,0.1599999999999966,0.30132532119750977,0.4642449915409088,0.7202664017677307
1.0,42,79,-21,kl,85.48,-0.3199999999999932,0.3068428635597229,0.480546772480011,0.8377249836921692
1.0,42,80,-20,kl,85.74,0.2599999999999909,0.34498533606529236,0.4888933002948761,0.8686139583587646
1.0,42,81,-19,kl,85.72,-0.01999999999999602,0.28919559717178345,0.47216424345970154,0.7877671718597412
1.0,42,82,-18,kl,85.9,0.18000000000000682,0.28830471634864807,0.4700939655303955,0.7919147610664368
1.0,42,83,-17,kl,85.86,-0.04000000000000625,0.290463924407959,0.4732956886291504,0.7800353765487671
1.0,42,84,-16,kl,85.76,-0.09999999999999432,0.31335315108299255,0.4788694381713867,0.7979607582092285
1.0,42,85,-15,kl,85.64,-0.12000000000000455,0.3051977753639221,0.47576960921287537,0.7738426327705383
1.0,42,86,-14,kl,85.9,0.2600000000000051,0.3038289248943329,0.480208158493042,0.8145380616188049
1.0,42,87,-13,kl,85.52,-0.38000000000000966,0.3007691204547882,0.47923195362091064,0.8160255551338196
1.0,42,88,-12,kl,85.68,0.1600000000000108,0.2747420370578766,0.4741024971008301,0.7992762923240662
1.0,42,89,-11,kl,85.7,0.01999999999999602,0.2943984270095825,0.4797974228858948,0.7734920382499695
1.0,42,90,-10,kl,85.66,-0.04000000000000625,0.309804767370224,0.4830855131149292,0.8042508959770203
1.0,42,91,-9,kl,85.78,0.12000000000000455,0.32060569524765015,0.48517802357673645,0.7988609671592712
1.0,42,92,-8,kl,85.82,0.03999999999999204,0.2781704068183899,0.47788527607917786,0.7894560098648071
1.0,42,93,-7,kl,85.78,-0.03999999999999204,0.31614676117897034,0.4867071509361267,0.814288854598999
1.0,42,94,-6,kl,85.5,-0.28000000000000114,0.28544771671295166,0.4809989929199219,0.8002774119377136
1.0,42,95,-5,kl,85.62,0.12000000000000455,0.30833131074905396,0.4867449104785919,0.8202928900718689
1.0,42,96,-4,kl,85.74,0.11999999999999034,0.33833444118499756,0.497967928647995,0.837663471698761
1.0,42,97,-3,kl,85.64,-0.09999999999999432,0.3239556550979614,0.4917912781238556,0.817714512348175
1.0,42,98,-2,kl,85.8,0.1599999999999966,0.30821552872657776,0.48579004406929016,0.8087589144706726
1.0,42,99,-1,kl,85.88,0.0799999999999983,0.31134065985679626,0.49106982350349426,0.8274888396263123
1.0,42,100,0,kl,85.92,0.04000000000000625,0.29187488555908203,0.4875718355178833,0.8168114423751831
1.0,42,101,1,ce,85.78,-0.14000000000000057,0.0636863261461258,0.4065661132335663,1.4434226751327515
1.0,42,102,2,ce,85.86,0.0799999999999983,0.04381532222032547,0.3868968188762665,1.6219592094421387
1.0,42,103,3,ce,86.0,0.14000000000000057,0.06899091601371765,0.39357930421829224,1.6549183130264282
1.0,42,104,4,ce,86.14,0.14000000000000057,0.05577469617128372,0.3857402503490448,1.6775590181350708
1.0,42,105,5,ce,86.14,0.0,0.08522705733776093,0.39772623777389526,1.6974403858184814
1.0,42,106,6,ce,86.18,0.04000000000000625,0.05911900848150253,0.3878702223300934,1.6611607074737549
1.0,42,107,7,ce,86.14,-0.04000000000000625,0.0928911492228508,0.40162351727485657,1.6683707237243652
1.0,42,108,8,ce,86.14,0.0,0.08496762067079544,0.39974382519721985,1.63133704662323
